c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,y
591004,742473,190470,104222,101642,787554,815327,735823,943207,110963,578704,914841,1
15270,187634,413726,849641,9494,420929,213374,245680,488684,931434,423752,444771,0
627166,665730,100954,836957,873925,423105,961875,5042,989297,906140,392707,995161,0
547680,61044,204328,546952,231864,174525,954275,549782,31858,761510,20523,668129,0
542226,18900,241600,206346,57152,927014,209844,63516,305373,115946,565686,576198,1
211800,441126,512038,426438,987329,103193,991087,740575,44233,127330,262882,97229,0
718858,143586,567202,728594,203106,862194,5454,407410,680527,298506,214007,941245,0
628566,295602,53370,930157,365284,347055,170960,915051,182503,747995,510721,650961,0
222484,271510,874245,947743,579856,244091,747643,172914,808068,683739,275746,605344,0
734817,624180,394506,765555,551792,599889,4960,834237,313729,341575,890293,224021,0
284468,795057,229662,205996,520364,173961,169734,783147,668903,595453,316217,115428,0
274880,233422,971433,188256,18746,849960,708230,848217,226549,314621,872664,268639,0
335844,141296,902515,761435,850001,174335,650970,154191,747363,480898,574868,402614,1
145386,467642,208674,442940,620350,990904,205808,144251,956117,651100,499112,126709,0
622210,14,280634,196060,91644,514963,122190,848470,318780,390764,299575,800371,0
740879,729864,478720,412406,605920,820240,504228,815498,374784,224696,758640,484751,0
590698,520026,689684,644810,126032,856318,691856,8871,121472,722327,424518,443928,0
789913,187184,202702,464774,681914,230081,379426,373375,392502,705577,771597,415231,0
232994,929715,353172,846707,250458,49099,329946,936742,662890,191339,736364,147316,0
246610,502260,597192,116374,745049,617437,112456,881472,791701,211719,536657,773582,0
364958,91568,904427,606000,993833,265225,458600,759266,976030,265088,101386,529532,0
18450,651548,127880,446082,778995,711845,366434,488147,883650,454460,896275,742034,0
994705,681874,70128,308492,398200,256605,745537,582789,326709,180310,805132,674976,0
336084,866967,468766,207508,197084,933422,26414,881292,974732,93656,653617,640369,0
714360,855125,831823,447936,232196,94633,792011,63791,566635,773346,133568,568524,0
893437,246876,979933,594698,379996,376055,119272,386971,811606,234107,563298,448965,0
148296,883991,617156,589732,459810,283397,176230,697559,91413,197773,314279,368006,0
534572,478898,34172,978101,944953,44843,272556,53949,833860,549555,242547,291061,0
293958,855447,153422,194830,88564,695831,994734,975339,423674,281336,891541,245024,1
170560,623820,382022,213780,349888,795116,34879,452098,930931,281076,211530,833928,0
355686,898237,749963,816947,960291,987318,953208,46538,767125,929871,358855,154846,0
175396,537864,260348,494706,295420,165219,761990,221968,199948,121764,519249,80027,0
750665,577050,702864,418384,754219,4157,144315,141878,40730,668061,15024,13854,0
183370,371594,426336,661722,479938,955474,682695,409170,148870,564355,644772,281685,0
784451,633722,592878,395340,441144,167081,498047,587616,208600,494541,76707,70408,0
5800,547400,512180,714658,164968,996464,879376,355536,886523,910982,557715,320647,0
193128,518604,664648,126952,621238,314435,115271,984461,848678,284330,558180,637400,0
497290,424858,142642,897167,734409,770184,648187,472854,869528,301250,81100,598439,0
749071,993571,226560,359312,477166,428079,175989,137604,33837,961653,60105,42650,0
358558,805517,23900,927969,4342,812682,445769,531390,133357,181524,368533,183685,0
351080,768005,466224,862631,42156,691841,386085,882933,4103,791636,425104,126058,0
47776,308488,762841,884517,671520,379407,185453,873349,862300,554951,24288,117137,0
496008,624700,632052,886755,102586,461117,311309,522846,53719,215813,287569,126584,0
841249,741039,363772,657664,77264,998532,780376,63908,219699,787472,261099,978054,0
384720,684550,853035,445164,785675,552253,179725,60287,319054,630638,519362,545078,0
197090,232656,479484,803197,112856,72279,388299,397345,465444,568882,763953,91763,0
700868,339748,588608,382970,774915,990132,355623,523955,264770,85096,447043,368158,0
414734,334044,402166,624440,6,104131,318573,976622,587138,801813,604597,170835,0
711228,25304,359168,772329,831057,922628,925916,525017,82738,310707,481814,573008,0
633294,902847,786087,783147,739009,18231,527009,820422,868679,935966,912197,874164,0
795967,912939,911243,506630,708488,384915,779930,979082,763079,210855,233991,756153,0
239868,787407,301608,414716,665346,292505,845078,917168,465736,254409,344227,352339,0
292390,279914,636338,338354,568660,982566,588575,218675,295333,666004,440414,302650,0
815491,702498,57496,80522,77718,421277,74051,822050,593661,506930,865397,903816,0
216128,731319,526920,19890,147716,531373,639207,442313,249921,211224,644469,377896,0
945761,573464,214086,540076,725536,818932,756276,368089,430401,64120,403727,277133,0
305852,309376,903537,61160,828489,433357,275899,877378,385723,762050,827813,700464,0
444432,608060,70060,318912,150764,498327,663189,370371,739868,154743,594060,122221,0
771769,566228,611998,369306,447772,479927,119855,220123,897382,736566,15637,421606,0
865577,490178,13044,9168,408410,926800,204791,237465,988356,774816,777514,555493,0
17428,867261,912809,711218,662431,838673,879307,888419,909261,50136,593236,725658,0
909015,355738,132858,464830,841604,978365,4334,364914,214402,826125,732727,882884,1
44196,510230,84558,170366,757244,852691,751257,447702,794197,489684,853564,371016,1
41162,675806,791797,459988,751172,788681,986277,582260,672072,721796,732448,334111,0
664306,633248,869533,77610,246757,635474,343172,544432,500108,560233,510758,492474,1
958121,919297,944793,34858,213001,541730,734035,171046,405520,281847,474694,331595,0
181620,270394,290086,131700,279087,810465,334446,92206,724686,792874,222137,179120,0
977511,798963,139848,606774,454731,305228,688376,763729,157950,818260,556051,541941,0
727924,751789,465886,936743,56695,354848,391028,511304,447011,363564,902149,279026,1
737835,765445,515892,530992,475705,953777,110274,707318,140171,105874,388338,391807,0
725780,397200,976159,685980,913010,439190,533610,319450,952926,828773,979950,4332,0
833745,46866,615474,275132,374459,229626,2846,338680,891538,274444,582981,48391,0
870855,489240,374402,774265,981512,317520,743067,961359,815710,847766,767569,763897,0
809509,203770,969147,514014,749150,793971,230998,478848,618391,77653,693954,981576,0
404166,620118,940579,276732,278553,339478,111590,302154,493383,307273,887654,453318,0
609394,925227,627024,617154,533253,797449,559708,133904,359545,799230,836952,385519,0
871573,132516,175290,200462,831196,197958,693742,124699,417530,626118,718622,120722,1
650986,112058,219890,647374,276657,129584,256242,611105,571590,69210,401374,839060,0
313126,894859,159778,239184,131601,57972,38514,194067,783385,218906,302527,912455,0
797749,818627,850041,536288,607019,733681,93440,235209,660600,710498,548353,250691,0
864191,704388,958785,737509,863892,920597,40110,28477,624568,303481,201588,794147,0
815937,523952,738285,871491,2591,632452,595552,975790,230084,849860,601252,499847,0
165216,155888,635010,993947,944130,759461,532950,113573,480038,618731,416559,308720,0
311674,614458,903763,972955,159555,318224,55432,125793,254080,340187,104667,707537,0
41662,928099,550300,113100,442137,16068,581426,63839,279249,13752,870629,977019,0
43938,710936,780425,470882,324945,314760,890439,549851,329799,481612,842237,561837,0
613132,723278,912531,56304,519019,709616,514132,722337,57793,15258,534343,678358,0
613140,137232,151048,130244,40745,122698,948347,719055,989374,395612,433933,971722,0
589876,910625,479480,142326,992906,115606,429934,311967,910388,767474,913889,888727,0
614608,86638,585876,43880,74209,497372,123766,226305,424555,620321,284218,151477,0
973683,254042,465740,401536,743758,578170,670528,899790,495739,264817,844858,735781,0
748055,107824,359810,638584,403709,415810,102262,741442,290145,976688,176229,551725,0
162504,389026,170218,267542,122267,898307,641009,902727,870263,82398,606130,176990,1
34538,688874,965519,659956,423577,901689,157831,433160,771315,416396,706514,713751,0
995555,8908,159486,25344,977980,3458,594833,876341,942701,581430,267283,542302,0
13078,749475,505046,299232,575749,72266,474439,79304,29576,285874,865166,884210,0
645074,623986,275460,530228,852124,729918,68731,293678,895069,726261,919927,291784,0
411958,690694,25574,467310,336263,474498,114139,657564,150702,19635,575754,871320,0
778651,328364,169470,665960,965058,870955,674909,88916,389368,926012,55827,523924,0
321896,782391,641296,505144,649853,599414,2757,683876,881279,445511,887594,999184,0
279578,564016,72574,160518,240805,114506,607137,151342,629921,75522,626776,304144,0
821583,582572,179966,990211,849454,863581,401899,898997,12271,184598,567026,84147,0
277686,535498,197936,492372,705017,397176,505521,468710,820382,851171,683817,204956,0
33998,650064,297152,392788,628439,668692,32437,726914,94477,753131,168677,530129,0
865177,717180,226104,147214,645629,118284,998628,576364,421079,359539,83898,135520,0
103148,221320,369600,964677,788478,399744,97857,445212,92545,245709,639082,244713,0
437802,206694,31368,188088,730147,957913,588245,942459,386467,277875,364539,988901,0
415848,820703,206616,922161,557457,92954,772508,411142,474189,553635,125659,493717,0
496442,199102,572294,571330,372131,145746,981994,892660,610948,420742,147818,120158,0
851485,530030,214412,137972,943012,706706,356707,162235,61080,260984,150862,616959,0
498504,765825,887719,668658,872852,530008,123467,543459,165134,104572,874092,799521,0
316924,355120,197658,125112,524301,23876,608653,71699,581572,893849,400511,796440,0
866537,601006,113026,899505,670321,457352,40907,29925,953279,300271,680438,790787,0
906973,799483,690582,785009,569983,704982,465729,953110,504246,929600,141364,486549,0
455220,581792,653206,299634,700165,896191,563133,319319,337334,116971,469821,972059,0
409346,702268,356340,287388,418795,397368,797222,296477,115462,737902,395587,986698,0
174858,603034,80418,630676,993280,750505,709033,802262,782458,852109,493686,992083,0
597450,174772,667004,96746,786586,707424,532141,86323,21625,777099,776649,668977,0
939421,569676,94380,307040,677455,747423,442225,380405,561065,648184,28193,288916,0
461178,111684,49814,266662,908462,862469,168853,330895,376943,296514,242463,105507,0
530302,237160,633692,60762,731568,295056,112883,55673,719745,172457,239444,517586,0
250262,40400,353502,722278,311897,824153,906064,185435,26431,254621,734941,971720,0
195988,433758,195566,375106,427019,84262,192471,77435,751090,476213,765806,795025,0
50278,833891,648300,858065,391367,93002,663491,43425,658413,790060,429257,853686,0
716404,627136,872833,260768,278113,488121,177642,851507,722772,286598,874993,276412,1
105940,97876,591870,84122,952030,955056,86636,409668,959055,891685,964427,273555,0
762451,868129,284812,81304,444839,324499,896777,620114,773767,932065,689527,621832,0
46806,412220,510248,826571,386429,323059,427900,554638,611172,698350,813666,128905,0
751101,130546,387138,121118,726997,741038,947413,519812,584714,8821,334670,308804,0
237958,275956,995823,736677,560983,724953,852521,112210,721514,791822,56716,484325,0
745615,430892,663118,965371,36529,99859,24044,185972,396072,410477,771134,539164,0
402022,203022,608688,508384,42793,330947,971355,303380,607256,910904,241473,855402,0
908927,812475,292632,870185,136909,690393,387940,835509,864584,171742,852691,438562,0
588634,843367,740007,128632,501115,327841,682856,58390,747494,166242,852795,870434,0
570068,83190,763587,463486,416267,927754,956317,202790,874796,682340,991970,232338,0
57286,728998,506036,478204,795796,260879,33564,692838,356065,154498,733572,34925,0
927517,604644,889223,109614,871772,432327,863105,138720,869198,200637,623942,822673,0
685228,36398,774001,770721,207205,769704,661398,881129,886288,996670,403134,887600,0
241090,64432,473552,376560,727325,794294,889171,80186,732142,367053,8305,355974,0
983265,558106,408936,791595,892322,549153,479152,391774,185863,87695,111169,137021,0
705620,716288,374390,248430,121715,507197,463400,322395,499162,304596,571874,936155,0
203676,683012,733901,188808,65159,261175,573056,528461,110838,560862,554394,211495,0
417176,300020,630948,244294,250577,529295,165406,76109,968327,598610,441469,915703,0
157952,305858,15356,479872,635241,229353,285356,975960,779991,864913,408533,314275,0
520490,358404,150182,506714,252313,915966,213446,660923,34606,235385,368010,666162,0
9256,540934,863005,356982,255879,533921,865609,898024,415928,18811,96380,385499,0
398528,959937,906333,587858,733950,437327,584892,1101,344058,329613,380073,97552,0
168610,826997,50428,120746,304765,34539,212170,418365,673102,246357,904526,668157,0
542008,628114,843271,877393,598053,466141,859635,47863,338965,654460,463962,149754,0
27084,300304,287354,279084,256343,584733,251658,19131,876090,369912,462550,536327,0
55856,142712,48098,623644,937524,772700,66340,973732,888322,581024,484827,883433,0
214356,919805,492354,587562,477349,661263,560512,481375,946832,759933,624917,263651,0
264236,262730,734283,753673,298417,348601,197786,721235,553723,870022,148254,355396,0
124674,301772,118998,3328,818200,368117,889547,308537,491229,236521,97680,536337,0
709504,770357,527496,609460,338101,258171,552640,755300,366609,568797,999720,953891,0
997695,975367,345442,712202,284833,166721,811175,222949,47761,618375,405159,901736,0
388650,560,425674,12980,360421,423951,218781,20768,1762,193502,207298,161218,0
301006,138466,575848,55150,614911,176323,586649,627032,949373,279328,182666,575623,0
410392,79726,811745,594188,211045,56003,270585,333388,507264,655242,534149,439312,0
189364,918189,746963,952975,357549,305053,201169,311388,187750,218492,419543,895560,0
552250,932457,980307,143830,886990,113537,515007,280252,921609,692821,808055,95016,0
431910,484102,465012,177486,119449,515273,21335,110658,59404,654165,194508,590097,0
286654,451920,963339,719114,905418,990066,233771,513982,756,878880,937540,412972,0
55762,309948,943983,751443,269117,157717,68703,174116,479348,502793,27099,160083,0
305532,899137,715200,725778,807180,250977,618091,879763,864380,918439,82150,495736,0
720648,666234,517830,503030,330149,836928,964290,925029,81217,453058,663834,177791,0
346558,42492,854375,928923,157501,609407,377789,834531,84019,730418,728427,724966,0
75138,733295,667622,410586,565151,593149,649739,600452,65845,158572,527351,74949,0
194594,295882,711736,738155,410937,421307,874638,870049,320823,237153,685806,638446,0
246138,745715,209332,256024,770632,238485,29527,344302,11839,117895,854133,948882,0
288824,785709,863817,815241,248841,824188,400153,277894,653839,126003,260101,182992,0
583506,525850,128414,892161,284069,962142,493583,167202,496357,28563,83771,127921,0
815063,325030,959347,213868,863650,481669,662081,854552,187922,643230,119858,791365,0
871427,882325,864925,35968,844696,983788,726337,988412,807139,733959,794941,238907,0
888935,313312,934291,368732,377107,286045,57985,711861,357258,386714,581821,724978,0
18470,425494,181638,652922,86713,244521,586041,26371,949795,395716,348141,759590,0
677212,766047,636962,877191,5593,591709,577187,154771,783269,436491,645964,21004,0
420038,599596,214456,743169,495131,635371,286061,474415,364410,23455,278050,8719,0
205986,987963,99114,873019,710745,623547,875722,221373,129924,59569,685507,777123,0
532468,851537,997069,564132,711113,89369,285841,125287,567452,214983,484999,132317,0
505972,405228,550990,337020,716859,195081,251369,327157,412127,653188,751757,743089,0
335252,66284,620348,127922,636153,247457,70057,963002,867752,912939,675308,152441,0
748485,791239,318856,248460,212331,247271,488749,262639,326867,352548,472981,88730,0
581432,198360,197168,380296,937044,897524,940510,87359,927664,421934,447349,488003,0
379538,839085,962243,203152,394977,897934,938954,389,991542,883952,898269,9972,0
871465,747099,67204,630660,134203,150657,24627,366419,337901,782358,201242,310533,0
319664,673466,882585,612116,549943,322119,162025,158477,49909,682131,789644,769059,0
331478,885813,469418,235084,558141,347381,572241,761128,378487,750780,64753,842840,0
287830,869427,531338,383677,688072,693598,716110,426796,534788,837907,545478,490746,0
256008,14746,995683,912610,151856,578904,339872,446590,852493,902883,604860,620099,1
703866,807847,738489,270365,519054,484012,130614,990065,736063,195970,154285,504836,1
195448,107566,889335,76095,773479,852853,389746,421264,792813,95464,790890,208393,0
813911,378368,886579,285081,860883,235434,20428,6736,870247,451895,194706,283110,1
225176,896733,309614,685189,86292,466080,155848,601018,83116,362033,35852,616883,0
398618,353514,568266,328403,162270,133186,200520,74456,656376,737604,295861,108736,0
165650,563370,286432,144727,224388,161742,833323,712192,626346,80419,927738,811436,0
786455,373546,141630,600205,833657,238216,382852,623308,193223,597858,365814,64076,1
381334,344142,278372,912366,428118,78292,128922,271298,624793,751375,390024,9891,0
225594,867731,48112,78457,178484,805973,549316,314772,767548,687034,226785,208160,0
308128,314048,899395,317659,904371,929281,645156,286758,798880,563048,630177,323837,0
892209,127534,435546,14995,884765,308184,225414,944815,14539,70015,944645,134714,0
41492,292990,387616,706545,982289,873053,882173,26832,51013,446027,815949,939102,0
268212,906485,936359,736014,863593,56890,236428,672222,522821,311077,437173,162316,0
671790,88896,442742,92287,668118,947245,381246,979153,116741,50425,353567,586983,0
554134,190362,255872,808430,400832,808659,863775,357509,777309,568764,776213,658654,1
810283,587476,546744,715819,934957,477324,779931,407063,564506,449346,521316,163135,0
532230,353156,923881,361125,676672,670602,759615,978012,795235,688908,948198,728100,0
725738,886427,889721,958628,430548,508104,557206,23719,127508,806623,625035,746546,0
647148,61446,182738,252927,731995,659596,979469,609793,861513,568305,412728,860901,0
697562,270028,431062,522913,258830,18586,952163,108915,505646,579685,652990,855626,0
716042,168924,641938,189069,435100,954067,555000,653517,766861,604085,718395,786977,0
101258,882577,198186,786814,356612,36342,432864,579817,299954,23159,936612,617013,0
40340,18938,869533,935142,648050,737489,924509,254115,222075,838613,122234,693716,0
775185,511698,305326,611801,636684,554926,659678,309841,976202,668826,110268,256187,0
744379,710520,807861,640947,218468,173550,575866,80487,86249,546690,135519,313932,0
704196,592116,403588,588225,699198,14972,288910,929496,239899,641902,361657,109051,0
748355,596844,375314,393531,186616,666124,908437,169331,202431,224421,455546,686184,0
520382,895313,17430,722059,203570,959949,464128,317513,742294,10755,388714,592117,0
484082,521302,431086,224921,561796,887985,718372,517583,392637,648273,356623,463522,0
834963,692098,241696,93239,175454,378382,939589,348591,131557,779342,446381,105103,0
976521,703824,917319,43661,795453,176364,901350,100022,498624,962085,500114,729716,1
832941,920735,512516,563135,640938,896741,704975,275154,193392,565334,620468,563065,0
316786,831691,708954,112867,73760,637036,592339,965045,385460,244250,168959,55456,0
181950,588442,91776,909726,712508,123266,940722,418,840947,673970,127939,764434,0
811413,398600,371220,612423,108540,484412,896910,894035,383626,802610,108878,743215,0
454182,703438,537012,88289,479588,140604,393151,58524,302254,737922,292182,690571,0
330320,527890,191894,637899,220514,205342,323319,65026,968929,605997,140717,309140,0
632192,306402,965875,429197,186502,525910,2439,532038,166584,1703,959974,404405,0
946009,790943,690492,283621,340380,877451,652701,662972,276695,894279,694074,285208,0
422378,302684,146088,890692,946719,857395,782056,661074,346833,135716,147380,974986,0
168834,486152,698450,136767,274030,361328,317033,141672,636397,315080,572979,367124,0
60882,377248,778201,593575,159454,682582,926772,879137,41133,127556,445041,25313,0
495918,69166,165580,363459,917263,625482,143233,165274,353281,943654,999537,178244,0
267022,477498,934535,729671,979291,447954,355747,698388,219675,676295,206302,185469,0
183142,579468,547124,122087,915597,877023,146957,463820,361605,74691,731516,102504,0
296028,951045,598000,32259,702072,161710,457029,41134,38847,442067,565325,595843,0
534186,711340,852673,402861,279282,986689,841530,623393,919631,413808,460102,830907,0
218844,823807,190944,206135,391060,639516,135569,982490,825427,667078,876183,52815,0
909711,803997,150388,849000,660096,505466,870508,471813,631500,312902,569289,737413,0
694170,599536,787033,450093,671574,436112,839732,354971,333304,450414,562369,96243,0
451916,712688,721882,487519,781515,18174,137887,387189,536862,892896,378052,147896,0
174084,588628,539814,505259,271050,811169,347387,678929,467778,925340,473170,480471,0
785275,689072,517646,163227,838211,681746,256521,63461,117412,241461,944820,59874,0
446218,332896,97628,85635,710510,414466,755738,41795,496516,425543,755760,395903,0
604342,250972,143886,945636,545180,326362,900658,139489,890034,528206,370830,824661,0
2934,666014,723564,774302,479760,211360,379863,31081,862854,224988,129562,157545,0
30098,122928,662616,399957,586832,180670,869540,434029,294757,183666,932090,635942,0
699674,39086,82886,820678,56980,658426,62855,145861,371213,611416,618883,270061,0
23550,222784,711668,446953,489954,796079,662633,248501,212887,366469,572736,743689,0
988471,375188,153398,998510,417026,235402,452761,242413,879362,934066,218352,992252,0
146672,969057,591462,158453,230700,907943,825558,325475,190829,294151,136525,818393,0
83680,112304,929893,231879,158782,847727,279603,685599,737800,876242,514243,187857,0
429940,614830,611070,763756,434628,34847,688740,632358,230284,319886,947109,259306,1
784141,97088,422244,666591,85254,446055,826563,953333,553510,878371,482520,760260,0
972661,460966,735033,29769,934079,559893,442830,389756,857649,914965,378883,897477,0
170022,163358,234506,38859,445694,245885,864767,544670,454918,276868,313267,391565,0
529124,690522,358186,619531,897173,983004,435462,950051,829069,826074,473384,575896,0
849963,834489,158910,920970,191574,389857,266086,547296,71916,726335,160602,261281,0
490964,235922,790857,591571,436596,692639,569936,205530,165572,913308,80107,556052,0
524310,805065,195074,275619,300860,123549,710558,461658,389846,592381,570681,645517,0
508220,842415,459840,121549,878207,133797,6958,409832,936386,223076,882553,298650,0
476818,763361,315638,656527,767103,416923,827487,816539,370111,712246,722532,416931,0
105362,11742,321050,433355,199794,38727,199300,712566,195243,654644,665981,710704,0
531102,764611,688438,658657,908329,499129,630720,517664,668859,379190,967266,306197,0
73974,375872,570770,74107,24472,907052,466562,370910,754538,857324,335116,811781,0
238030,651640,50438,28483,868947,564329,782233,909131,676559,322419,298262,468493,0
483388,127296,367794,576055,402938,639293,193266,3538,758988,420453,6979,436892,0
35598,887587,383600,9281,686062,54087,947061,843721,84149,43849,897850,324899,0
997607,672416,458306,883802,287422,242165,831043,760552,291396,172182,296210,994433,0
973699,368694,102454,831388,888027,335761,80322,464551,163924,87128,578222,867456,0
36848,964185,816755,755310,774683,506181,118064,500419,629850,898765,540675,197790,0
766073,24770,615600,736624,351492,718263,436182,396575,493780,597902,743308,196797,0
710170,942005,768539,811548,352452,476801,976983,795930,263174,579125,939007,717474,0
284912,501690,645754,294217,929367,49299,966381,764954,861117,530003,27746,224381,0
257578,123562,883111,759130,399544,286303,369586,951276,31546,347091,802658,233392,0
969445,642188,126242,184713,862015,814164,988767,419895,159910,337607,696485,366499,0
192696,401376,744107,255485,55344,340427,704602,509139,805838,459132,448348,931779,0
626892,112332,397400,200737,650442,739396,552000,132249,840514,339578,198362,775418,0
459968,849115,825721,232781,505300,71095,995665,88025,21429,638984,173673,26106,0
648380,692710,447066,779678,500310,83905,146516,550589,618245,846201,477531,421661,0
185614,230118,502078,25265,584528,470423,774237,630957,131085,403015,857075,624464,0
445754,214910,815333,994294,119254,636629,694832,932596,554967,324079,557348,187981,0
117380,668116,115070,461155,948695,927366,38596,762436,391949,384885,906136,905135,0
415108,787131,190372,769854,682574,60209,493036,884052,69297,65443,650119,651603,0
521308,558370,680524,687705,900571,704479,650551,818665,558990,765157,570274,648542,0
700652,897081,374022,974192,554470,788544,576861,79028,92194,856053,988123,255897,0
377928,82080,112048,808618,425714,437951,490009,401126,738899,364358,938050,758757,0
923955,889655,794091,30417,105882,260335,791134,981741,119582,117828,358345,929674,0
991769,450478,223476,311633,371114,919324,925070,598572,155418,290813,510492,156918,0
571114,8704,610264,342767,709722,506011,773794,696676,237542,943848,542522,859736,0
555068,79272,374726,537715,549892,40807,932538,856539,589838,108347,116683,120856,0
481794,671926,217208,333007,615432,850324,292289,86682,699390,202603,875358,326751,0
644232,838813,251086,891310,747265,859566,908606,282806,584221,331224,526420,317104,0
816075,35322,571280,16789,906887,565393,846590,222058,358197,855971,513294,34517,0
212408,938315,184222,457983,758797,590859,360361,791519,185655,347468,160853,798523,0
990757,330946,671430,804900,410336,600113,549597,550890,71309,737231,795566,588491,0
209394,480354,818577,833374,410202,317393,2403,904085,157599,535633,948589,996697,0
778433,690172,896249,166839,590568,811894,807542,841333,515047,394731,81110,917004,0
